login,alloc_type,experiment,time
orusov_t_d,T*,310,3.47295
orusov_t_d,T*,310,3.36615
orusov_t_d,T*,310,3.38837
orusov_t_d,T*,310,3.34245
orusov_t_d,T*,310,3.25653
orusov_t_d,T*,410,3.24101
orusov_t_d,T*,410,3.40205
orusov_t_d,T*,410,4.01319
orusov_t_d,T*,410,3.57857
orusov_t_d,T*,410,3.44964
orusov_t_d,T*,410,3.76607
orusov_t_d,T*,410,3.56066
orusov_t_d,T*,410,3.38146
orusov_t_d,T*,410,3.83826
orusov_t_d,T*,410,4.74289
orusov_t_d,T*,410,4.48849
orusov_t_d,T*,410,4.04336
orusov_t_d,T*,410,3.8027
orusov_t_d,T*,410,4.47595
orusov_t_d,T*,410,4.25667
orusov_t_d,T*,510,3.75282
orusov_t_d,T*,510,3.90872
orusov_t_d,T*,510,3.61295
orusov_t_d,T*,510,4.42136
orusov_t_d,T*,510,4.08758
orusov_t_d,T*,510,4.50714
orusov_t_d,T*,510,4.6272
orusov_t_d,T*,510,4.23979
orusov_t_d,T*,510,5.80149
orusov_t_d,T*,510,6.5232
orusov_t_d,T*,510,7.10124
orusov_t_d,T*,510,7.84836
orusov_t_d,T*,510,4.39357
orusov_t_d,T*,510,5.82215
orusov_t_d,T*,510,6.55935
orusov_t_d,T*,610,8.53328
orusov_t_d,T*,610,6.72995
orusov_t_d,T*,610,4.54787
orusov_t_d,T*,610,4.19664
orusov_t_d,T*,610,4.57627
orusov_t_d,T*,610,5.4222
orusov_t_d,T*,610,8.85915
orusov_t_d,T*,610,6.58015
orusov_t_d,T*,610,3.73141
orusov_t_d,T*,610,4.66497
orusov_t_d,T*,610,4.89075
orusov_t_d,T*,610,4.13058
orusov_t_d,T*,610,4.00569
orusov_t_d,T*,610,5.04059
orusov_t_d,T*,610,9.56362
orusov_t_d,T*,710,3.07733
orusov_t_d,T*,710,3.23605
orusov_t_d,T*,710,3.65008
orusov_t_d,T*,710,3.4504
orusov_t_d,T*,710,4.48307
orusov_t_d,T*,710,3.7637
orusov_t_d,T*,710,3.49771
orusov_t_d,T*,710,3.06943
orusov_t_d,T*,710,3.05482
orusov_t_d,T*,710,3.17651
orusov_t_d,T*,710,3.5664
orusov_t_d,T*,710,3.4644
orusov_t_d,T*,710,3.43748
orusov_t_d,T*,710,3.35311
orusov_t_d,T*,710,3.72058
orusov_t_d,T*,810,3.87277
orusov_t_d,T*,810,3.68595
orusov_t_d,T*,810,3.72852
orusov_t_d,T*,810,3.71854
orusov_t_d,T*,810,4.04062
orusov_t_d,T*,810,3.85461
orusov_t_d,T*,810,3.86717
orusov_t_d,T*,810,3.90707
orusov_t_d,T*,810,3.8998
orusov_t_d,T*,810,4.1508
orusov_t_d,T*,810,3.96066
orusov_t_d,T*,810,4.16386
orusov_t_d,T*,810,4.08452
orusov_t_d,T*,810,4.03813
orusov_t_d,T*,810,4.27495
orusov_t_d,T*,910,5.25179
orusov_t_d,T*,910,5.35019
orusov_t_d,T*,910,3.53145
orusov_t_d,T*,910,2.79705
orusov_t_d,T*,910,2.74895
orusov_t_d,T*,910,3.11905
orusov_t_d,T*,910,3.09886
orusov_t_d,T*,910,3.06911
orusov_t_d,T*,910,3.07541
orusov_t_d,T*,910,3.12865
orusov_t_d,T*,910,3.1783
orusov_t_d,T*,910,3.11097
orusov_t_d,T*,910,3.23151
orusov_t_d,T*,910,2.82642
orusov_t_d,T*,910,2.84299
orusov_t_d,T*,1010,3.28256
orusov_t_d,T*,1010,3.10215
orusov_t_d,T*,1010,3.10226
orusov_t_d,T*,1010,3.23711
orusov_t_d,T*,1010,3.4744
orusov_t_d,T*,1010,3.034
orusov_t_d,T*,1010,2.76604
orusov_t_d,T*,1010,3.08582
orusov_t_d,T*,1010,3.29494
orusov_t_d,T*,1010,3.254
manakov_d_d,T*,10,2.294
manakov_d_d,T*,10,1.392
manakov_d_d,T*,10,0.113
manakov_d_d,T*,10,0.075
manakov_d_d,T*,10,0.075
manakov_d_d,T*,10,0.075
manakov_d_d,T*,10,0.083
manakov_d_d,T*,10,0.065
manakov_d_d,T*,10,0.065
manakov_d_d,T*,10,0.062
manakov_d_d,T*,10,0.063
manakov_d_d,T*,10,0.079
manakov_d_d,T*,10,0.066
manakov_d_d,T*,10,0.064
manakov_d_d,T*,10,0.063
manakov_d_d,T*,110,0.0024876
manakov_d_d,T*,110,0.00178588
manakov_d_d,T*,110,6.16078e-05
manakov_d_d,T*,110,5.03381e-05
manakov_d_d,T*,110,4.80841e-05
manakov_d_d,T*,110,4.95868e-05
manakov_d_d,T*,110,5.86026e-05
manakov_d_d,T*,110,4.88355e-05
manakov_d_d,T*,110,4.95868e-05
manakov_d_d,T*,110,4.95868e-05
manakov_d_d,T*,110,8.48986e-05
